The following are the 3-grams for words #600-1000 in the lexicon file for the Corpus of Contemporary American English (COCA), which occur at least five times. In the full n-grams file (available for purchase), you would of course have *all* words and you would also have all n-grams regardless of frequency.


freq	w1	w2	w3
----	----	----	----

786	free	of	the
564	free	.	<p>
501	free	.	"
417	free	of	charge
293	free	,	and
282	free	speech	.
254	free	from	the
252	free	,	but
251	free	trade	,
235	free	trade	agreement
225	free	.	The
217	free	flow	of
216	free	,	"
216	free	will	.
215	free	trade	.
214	free	speech	,
213	free	agent	.
205	free	agent	,
202	free	speech	and
202	free	to	go
196	free	to	do
194	free	market	.
188	free	and	fair
185	free	time	.
177	free	time	,
175	free	market	,
175	free	enterprise	system
168	free	will	,
166	free	man	.
163	free	hand	.
159	free	.	I
142	free	agency	,
140	free	trade	and
139	free	world	.
138	free	hand	,
137	free	agents	,
137	free	exercise	of
135	free	agents	.
134	free	throws	.
131	free	agency	.
131	free	access	to
129	free	.	But
125	free	.	And
119	free	throws	,
118	free	society	.
116	free	of	any
115	free	.	Call
111	free	.	It
108	free	to	make
104	free	market	economy
101	free	movement	of
99	free	throws	with
98	free	agent	after
97	free	throw	line
97	free	society	,
96	free	radicals	,
95	free	lunch	.
94	free	radicals	.
94	free	press	,
93	free	and	open
93	free	to	be
93	free	for	the
91	free	.	He
90	free	trade	zone
89	free	of	his
89	free	markets	and
89	free	ride	.
89	free	to	leave
88	free	to	choose
87	free	country	.
86	free	elections	,
86	free	in	the
84	free	to	move
84	free	elections	.
83	free	agency	and
82	free	hand	to
82	free	fall	.
82	free	world	,
80	free	trade	agreements
80	free	speech	rights
79	free	country	,
79	free	man	,
79	free	)	.
77	free	markets	,
76	free	agent	in
76	free	copy	of
75	free	throws	in
75	free	trade	area
73	free	enterprise	,
72	free	of	all
71	free	enterprise	.
71	free	and	independent
70	free	and	fair
70	free	market	and
70	free	.	They
69	free	.	She
68	free	will	and
68	free	market	system
68	free	,	the
67	free	air	time
67	free	press	.
65	free	and	democratic
65	free	.	We
64	free	elections	in
63	free	exercise	clause
63	free	markets	.
63	free	.	You
63	free	and	the
63	free	to	the
62	free	speech	in
62	free	time	to
61	free	to	use
60	free	trade	with
59	free	lunch	,
59	free	tickets	to
59	free	fall	,
59	free	exchange	of
57	free	to	take
57	free	of	its
56	free	health	care
55	free	.	'
54	free	to	pursue
54	free	trade	in
54	free	.	For
54	free	on	the
53	free	speech	jurisprudence
52	free	of	it
52	free	hand	and
51	free	enterprise	and
51	free	.	In
51	free	time	and
51	free	market	is
51	free	cash	flow
50	free	and	equal
49	free	medical	care
48	free	,	I
48	free	to	come
47	free	.	(
47	free	rein	to
47	free	.	If
46	free	trip	to
46	free	throw	percentage
46	free	and	open
46	free	to	say
