The following are the lexicon entries for the 400 words (#600-1000 in the lexicon) whose ngrams are given in the file <ngrams_entries.txt>.

wID: word ID, corresponds to the wID in the <ngrams_wordID.txt> file
word: word form, all lower case
wordCSL word, case sensitive
lemma: lemma
PoS: part of speech (see http://ucrel.lancs.ac.uk/claws/ for details)
  Note that a PoS entry ending in a number indicates a multi-word expression
  Example: <603>: <of> <rr21> is two-word adverbial phrase (hence <2>1), and <of> is the first word in the phrase (hence 2<1>)
  @ also indicates that it is part of a multi-word expression.
freq: frequency of <word> in the 400 million word Corpus of Contemporary American English


wID	word	wordCS	lemma	PoS
----	----	----	----	----

600	free	free	free	jj
601	oil	oil	oil	nn1
602	word	word	word	nn1
603	of	of	of	rr21
604	market	market	market	nn1
605	son	son	son	nn1
606	work	work	work	vvi
607	much	much	much	rr
608	special	special	special	jj
609	as	as	as	csa_rg@
610	world	World	world	nn1
611	experience	experience	experience	nn1
612	personal	personal	personal	jj
613	a	a	a	rr21
614	art	art	art	nn1
615	where	where	where	rrq_cs
616	back	back	back	rp_nn1
617	takes	takes	take	vvz
618	difficult	difficult	difficult	jj
619	while	While	while	cs
620	feel	feel	feel	vvi
621	both	both	both	rr
622	attention	attention	attention	nn1
623	based	based	base	vvn
624	federal	federal	federal	jj
625	30	30	30	mc
626	evidence	evidence	evidence	nn1
627	goes	goes	go	vvz
628	off	off	off	ii_rp
629	perhaps	perhaps	perhaps	rr
630	feel	feel	feel	vv0
631	god	God	god	xx
632	for	for	for	rex21
633	officials	officials	official	nn2
634	guy	guy	guy	nn1
635	'	'	'	ge_"@
636	congress	Congress	congress	nn1
637	sometimes	sometimes	sometimes	rt
638	15	15	15	mc
639	too	too	too	rr@
640	on	on	on	rp
641	schools	schools	school	nn2
642	available	available	available	jj
643	couple	couple	couple	nn1
644	party	party	party	nn1
645	6	6	6	mc
646	field	field	field	nn1
647	david	David	david	np1
648	friend	friend	friend	nn1
649	found	found	find	vvn
650	myself	myself	myself	ppx1
651	strong	strong	strong	jj
652	before	before	before	ii
653	month	month	month	nnt1
654	student	student	student	nn1
655	director	director	director	nn1
656	although	Although	although	cs
657	better	better	better	jjr
658	class	class	class	nn1
659	industry	industry	industry	nn1
660	everyone	everyone	everyone	pn1
661	from	From	from	ii
662	around	around	around	ii_rp
663	nearly	nearly	nearly	rr
664	areas	areas	area	nn2
665	12	12	12	mc
666	even	even	even	cs21
667	ask	ask	ask	vvi
668	george	George	george	np1
669	center	center	center	nn1
670	an	An	a	at1
671	space	space	space	nn1
672	hear	hear	hear	vvi
673	more	more	more	rgr_dar
674	position	position	position	nn1
675	made	made	make	vvd_vvn
676	until	until	until	cs_ii@
677	court	court	court	nn1
678	boy	boy	boy	nn1
679	a	A	a	zz1
680	hard	hard	hard	jj
681	just	Just	just	rr
682	teachers	teachers	teacher	nn2
683	billion	billion	billion	m
684	relationship	relationship	relationship	nn1
685	cases	cases	case	nn2
686	understand	understand	understand	vvi
687	situation	situation	situation	nn1
688	girl	girl	girl	nn1
689	on	on	on	rp@_ii
690	third	third	third	md
691	college	college	college	nn1
692	view	view	view	nn1
693	paper	paper	paper	nn1
694	significant	significant	significant	jj
695	phone	phone	phone	nn1
