The following are the 3-grams for words #600-1000 in the lexicon file for the Corpus of Contemporary American English (COCA), which occur at least five times.

The numbers in the columns (w1,w2,w3) refer to the [wID] column in the <ngrams_lexicon.txt> file.

In the full n-grams file (available for purchase), you would of course have *all* words and you would also have all n-grams regardless of frequency.

freq	w1	w2	w3
----	----	----	----

786	600	5	3
564	600	2	10
501	600	2	7
417	600	5	2380
293	600	1	4
282	600	1357	2
254	600	35	3
252	600	1	45
251	600	1135	1
235	600	1135	1422
225	600	2	20
217	600	2902	5
216	600	2656	2
216	600	1	7
215	600	1135	2
214	600	1357	1
213	600	2384	2
205	600	2384	1
202	600	1357	4
202	600	8	167
196	600	8	116
194	600	604	2
188	600	4	2800
185	600	83	2
177	600	83	1
175	600	604	1
175	600	5861	258
168	600	2656	1
166	600	175	2
163	600	270	2
159	600	2	11
142	600	1504	1
140	600	1135	4
139	600	177	2
138	600	270	1
137	600	2497	5
137	600	2462	1
135	600	2462	2
134	600	36039	2
131	600	1504	2
131	600	1360	13
129	600	2	69
125	600	2	58
119	600	36039	1
118	600	707	2
116	600	5	135
115	600	2	7081
111	600	2	54
108	600	8	157
104	600	604	762
101	600	961	5
99	600	40022	18
98	600	2384	210
97	600	707	1
97	600	16513	443
96	600	16414	1
95	600	2159	2
94	600	1370	1
94	600	16414	2
93	600	14	3
93	600	4	6590
93	600	8	25
91	600	2	56
90	600	1135	3372
89	600	3806	2
89	600	2013	4
89	600	5	29
89	600	8	818
88	600	8	2731
87	600	229	2
86	600	9	3
86	600	2605	1
84	600	2605	2
84	600	8	900
83	600	1504	4
82	600	1597	2
82	600	177	1
82	600	270	8
80	600	1357	719
80	600	1135	5883
79	600	229	1
79	600	175	1
79	600	27	2
77	600	2013	1
76	600	4249	5
76	600	2384	9
75	600	1135	411
75	600	40022	9
73	600	5861	1
72	600	5	77
71	600	5861	2
71	600	4	1530
70	600	4	4299
70	600	2	104
70	600	604	4
69	600	2	100
68	600	2656	4
68	600	604	258
68	600	1	3
67	600	457	83
67	600	1370	2
65	600	4	2557
65	600	2	87
64	600	2605	9
63	600	13	3
63	600	2013	2
63	600	4	3
63	600	2	92
63	600	2497	12607
62	600	83	8
62	600	1357	9
61	600	8	506
60	600	1135	18
59	600	2159	1
59	600	2602	5
59	600	1597	1
59	600	4429	13
57	600	5	91
57	600	8	190
56	600	436	527
55	600	2	172
54	600	1135	9
54	600	22	3
54	600	2	218
54	600	8	4985
53	600	1357	30325
52	600	5	15
52	600	270	4
51	600	2320	2902
51	600	2	89
51	600	83	4
51	600	5861	4
51	600	604	12
50	600	4	2436
49	600	860	527
48	600	1	11
48	600	8	300
47	600	2	152
47	600	2	28
47	600	47292	8
46	600	16513	2502
46	600	8	191
46	600	1318	13
46	600	4	10401
45	600	30	7
45	600	4	3329
45	600	2384	4
45	600	2497	25397
45	600	2	138
45	600	1370	4
44	600	2605	4
44	600	270	9
44	600	2384	35
44	600	521	5
44	600	16513	11845
44	600	1022	2
44	600	32	3
43	600	2	156
43	600	1	23
43	600	14	182
43	600	83	22
43	600	604	9
42	600	8	32578
42	600	8	914
42	600	5	60
41	600	1357	12
41	600	5	36
40	600	1	17
40	600	1022	5
